author,number_titles,id
Mary Jean Harrold,17,50635
Philippe Kruchten,17,51139
Mira Mezini,17,51261
Gerardo Canfora,17,51312
José A. Pino,17,51994
Ali Mesbah,17,52192
Jean-François Raskin,17,52425
Ali Jadbabaie,17,52745
Richard F. Paige,17,53036
Zhendong Su,17,53078
Massimiliano Di Penta,17,53856
Manfred Morari,17,55870
Carlos José Pereira de Lucena,17,56418
Hong Mei,17,57921
Brian Fitzgerald,16,51
David Gries,16,151
Franco Zambonelli,16,655
François Bry,16,1131
Panagiotis D. Christofides,16,1866
Andreas Zeller,16,1967
Roy Rada,16,3312
Naohiro Ishii,16,3777
Adi Shamir,16,4484
Tok Wang Ling,16,25388
John R. Herndon,16,25734
Patricia Lago,16,25807
David M. Weiss,16,26248
Valérie Issarny,16,26701
Steven P. Reiss,16,27138
Harold Ossher,16,27211
Jesper Larsson Träff,16,27391
Willem Visser,16,27505
James F. Peters,16,28134
Reid Holmes,16,29639
Frank Tip,16,50613
Ian R. Petersen,16,51190
Marsha Chechik,16,51330
Edmund M. Clarke,16,51431
Scott E. Delman,16,51466
Tung Thanh Nguyen,16,51474
Laurie Williams,16,51550
Hironori Washizaki,16,52123
Sven Apel,16,53075
Walter G. Kropatsch,16,53199
Masayoshi Tomizuka,16,53308
Ugo Montanari,16,53633
Graham E. Fagg,16,53980
Gregor Engels,16,54341
Paola Inverardi,16,54571
Gang Tao,16,55240
Michael Wooldridge,15,1635
Lawrence Chung,15,1644
Wilhelm Schäfer,15,1707
Hai Jin,15,1754
Robert L. Nord,15,1947
Carlos García Puntonet,15,1974
Hermann Ney,15,2354
Walter F. Tichy,15,2425
Robert B. France,15,2907
Toyoaki Nishida,15,3046
Jaime Delgado,15,3471
Barbara Simons,15,3560
Manfred Broy,15,3842
Alessandro Garcia,15,4208
Sanjay Singh,15,4258
Schahram Dustdar,15,4723
Ming Li,15,4918
Qing Li,15,25432
Elisa Bertino,15,25509
Zhaohui Wu,15,25613
Reidar Conradi,15,25660
Yael Dubinsky,15,25862
Hoan Anh Nguyen,15,25988
Paul G. Spirakis,15,26730
Emilio Frazzoli,15,26754
Stefan Edelkamp,15,27166
Brian Henderson-Sellers,15,27462
Vu1010095,15,29275
Ivica Crnkovic,15,29638
Kurt Schneider,15,30732
David Taniar,15,31147
Michael A. Demetriou,15,31415
Andrian Marcus,15,33393
Thomas Eiter,15,33630
Guy Pujolle,15,50736
Abhik Roychoudhury,15,50789
Volker Gruhn,15,51039
Wlodzimierz Funika,15,51063
Michael J. Butler,15,51324
Dirk Vandermeulen,15,51470
Ron Kimmel,15,51541
William G. Griswold,15,51556
Xiangyu Zhang,15,52149
Ricardo G. Sanfelice,15,52765
Jan G. Bazan,15,52770
Ralph E. Johnson,15,53095
Tansel Yucelen,15,53131
M Maarten Steinbuch,15,53182
Jane Cleland-Huang,15,53201
Rachid Guerraoui,15,53769
Stefania Bandini,15,53844
Darko Marinov,15,53922
John Lygeros,15,53937
Carlo Sansone,15,53998
Ken-ichi Matsumoto,15,54459
Colin Atkinson,15,55107
Yan Liu,15,55150
Collin McMillan,15,55350
Venu Govindaraju,15,55719
Fabio Paternò,15,56480
Wei Ren,14,351
Andrea Omicini,14,364
Francisco Casacuberta,14,491
James Noble,14,744
Todd D. Murphey,14,1019
Samy Bengio,14,1061
Qing Wang,14,1439
Rogério de Lemos,14,1457
Fabio Massacci,14,1621
Josep Domingo-Ferrer,14,1650
Luc Van Gool,14,2100
Donald E. Knuth,14,2983
H. Raghav Rao,14,3201
Christian Kästner,14,4429
Bernhard Nebel,14,5077
Javad Mohammadpour,14,5199
Kazimierz Subieta,14,5645
Nancy G. Leveson,14,8984
Orit Hazzan,14,11987
Satish Chandra,14,25429
Hongyu Zhang,14,25729
Jaap Kamps,14,26156
Yunhong Wang,14,26447
Len Bass,14,26554
Stefan Wagner,14,26787
Peri L. Tarr,14,26920
Marcin S. Szczuka,14,27355
Toyohide Watanabe,14,27512
Nancy A. Lynch,14,27516
Raffaela Mirandola,14,27655
Cristiano Castelfranchi,14,28026
Leonardo Mariani,14,28186
Wassim M. Haddad,14,29257
Nader Meskin,14,29576
Frank Piessens,14,30793
Heinrich Niemann,14,31066
Alan J. Perlis,14,31544
Krzysztof R. Apt,14,31984
Mihailo R. Jovanovic,14,33260
Nicholas R. Jennings,14,33694
Eric Rogers,14,50568
Boi Faltings,14,50626
Maurice V. Wilkes,14,50978
David S. Rosenblum,14,51132
Amir G. Aghdam,14,51783
Mark Grechanik,14,52092
Reinhard Klette,14,52301
Robert W. Bemer,14,52371
Mark S. Nixon,14,52413
Sam Malek,14,52446
Manuel López-Ibáñez,14,52469
David A. Basin,14,52499
Sandip Roy,14,52679
Yi Mu,14,53215
Mikhail Moshkov,14,53227
Evelina Lamma,14,53276
Günther Palm,14,53527
Grigori Melnik,14,53899
Chong-Sun Hwang,14,54575
Wei Zhang,14,54811
Mark Klein,14,55141
Wolfram Schulte,14,55186
Stefano Ferilli,14,55757
Lei Chen,14,56305
Leslie Lamport,14,57017
Jon Crowcroft,14,57279
Yoshiaki Fukazawa,14,57501
Aaron D. Ames,14,58637
Jacques Cohen,14,59920
Danny Dig,13,282
Vijay Gupta,13,473
Paola Mello,13,540
Anna G. Stefanopoulou,13,741
Floriana Esposito,13,985
Yves Le Traon,13,1270
Erik D. Demaine,13,1490
Shing Chi Cheung,13,1684
C. A. R. Hoare,13,1712
Christopher Edwards,13,1899
Marvin V. Zelkowitz,13,2099
Rik Van de Walle,13,2106
Hung Son Nguyen,13,2183
Hui Zhang,13,2428
Robert DeLine,13,3784
Jerzy W. Grzymala-Busse,13,5173
Christoph Treude,13,5843
Alberto Martelli,13,6041
Mario Gerla,13,10104
Paolo Torroni,13,25425
Frank Dignum,13,25572
Kang Ryoung Park,13,25860
Paolo Giorgini,13,26143
Narayan C. Debnath,13,26517
Jason I. Hong,13,26519
Puneet Singla,13,26812
Tarunraj Singh,13,26965
Antonio Carzaniga,13,26976
Ye Yang,13,27000
Natalia Juristo,13,27429
Zdzisław Pawlak,13,28086
Dorothy E. Denning,13,28131
Colin Boyd,13,28341
Tevfik Bultan,13,28908
Mario J. Pérez-Jiménez,13,30543
Frédéric Mazenc,13,31379
Andrea Torsello,13,31556
Terry Caelli,13,31917
Frank Allgöwer,13,33576
Kameshwar Poolla,13,50687
Nigel P. Smart,13,51257
Pekka Abrahamsson,13,51719
Jon Louis Bentley,13,51978
Yu Wang,13,52172
Hans Burkhardt,13,52332
Frederik Maes,13,52394
Fritz Wysotzki,13,52479
Sean N. Brennan,13,52538
Zbigniew Suraj,13,52691
Giorgio Fumera,13,53391
Casiano Rodríguez,13,53470
Peter Winkler,13,53596
Toru Ishida,13,53776
Hong Zhu,13,53826
Alberto Sillitti,13,53910
Masayuki Murata,13,54062
Saurabh Sinha,13,54362
Mieke Massink,13,55682
René Govaerts,13,55874
Jean-Marc Jézéquel,13,57374
Thomas Ball,13,57593
Franco Turini,13,60134
Andrea De Lucia,13,64044
Hans-Peter Kriegel,12,222
Sarunas Raudys,12,772
Shiguang Shan,12,842
Gwi-Tae Park,12,857
Krzysztof Czarnecki,12,898
Torgeir Dingsøyr,12,996
Mike Holcombe,12,1035
Elzbieta Pekalska,12,1214
Kim Guldstrand Larsen,12,1375
Sandeep S. Kulkarni,12,1626
Pablo Gervás,12,1718
Grigore Rosu,12,1758
Patrizio Pelliccione,12,1828
Daniel G. Bobrow,12,2625
Lucy Y. Pao,12,2786
Oscar H. Ibarra,12,3158
Donato Malerba,12,3236
Juan M. Corchado,12,3396
Woontack Woo,12,3450
Robert J. Walker,12,3608
Thomas Haigh,12,4069
Daniel Port,12,4125
Wojciech Rytter,12,4190
Jianghai Hu,12,4229
Bradley R. Schmerl,12,4355
K. Rustan M. Leino,12,4459
Shinichi Honiden,12,4575
Gregory M. P. O'Hare,12,4953
Jürgen Münch,12,5157
Martin Gogolla,12,5299
Toshimitsu Masuzawa,12,7217
Bart Mennink,12,9855
Westley Weimer,12,11059
Yingmin Jia,12,25519
Ralf Steinmetz,12,25667
Arthur I. Karshmer,12,25750
Derick Wood,12,25817
Bart M. ter Haar Romeny,12,25953
Ueli Maurer,12,26195
Yolande Berbers,12,26209
Paolo Ciancarini,12,26955
Nicola Santoro,12,26963
Alessandro Micarelli,12,27400
Víctor A. Braberman,12,27507
Anthony Finkelstein,12,27551
Ralf H. Reussner,12,27636
Guang Gong,12,27723
Bernard De Baets,12,28118
Luis A. Guerrero,12,28374
Anuradha M. Annaswamy,12,28949
Dimos V. Dimarogonas,12,29282
John Howse,12,29674
Jesús Favela,12,29705
Jeremy Pitt,12,29733
Nathan Keller,12,30052
Chi-Hung Chi,12,50695
Karin Coninx,12,50867
Hsinchun Chen,12,50884
Vaidy S. Sunderam,12,50956
Francesco Borrelli,12,51058
Andrew Begel,12,51516
Alessandro Astolfi,12,51981
Richard T. Watson,12,52060
Ali Saberi,12,52098
Malcolm C. Pike,12,52166
Robert W. Floyd,12,52308
Kamal Youcef-Toumi,12,52463
Daniel Cremers,12,52996
Yuri Gurevich,12,53198
Jerzy Stefanowski,12,53352
Dennis E. Shasha,12,53959
Alexander F. Gelbukh,12,54347
Marcos R. S. Borges,12,54632
Lejla Batina,12,55543
Yvan Labiche,12,56168
Mingshu Li,12,56233
June M. Verner,12,56601
Ewa Orłowska,12,57334
Chin-Chen Chang,12,57678
Jean E. Sammet,12,58065
Dennis B. Smith,12,58324
Debra J. Richardson,12,58345
José Júlio Alferes,12,59056
Marc Schoenauer,12,59797
Vinny Cahill,11,241
Gail E. Kaiser,11,308
Mehdi Dastani,11,357
Jie Tian,11,422
Gian Luigi Ferrari,11,461
Gordon Bell,11,479
Petra Perner,11,630
César A. Collazos,11,687
Jiaguang Sun,11,928
Roy H. Campbell,11,951
Nicola Leone,11,1044
Wan Fokkink,11,1135
Mehran Mesbahi,11,1274
Eugene H. Spafford,11,1363
Oded Maler,11,1374
Richard C. Holt,11,1387
Rudolf K. Keller,11,1556
Alberto L. Sangiovanni-Vincentelli,11,1569
Aoying Zhou,11,1729
Michel Raynal,11,1770
Robert Balzer,11,1791
Paul Blenkhorn,11,1844
Peter Seiler,11,2016
Orna Kupferman,11,2091
Lutz Prechelt,11,2224
Wei Wu,11,2358
Ewing L. Lusk,11,2591
Marie-Francine Moens,11,2671
Pavel Pudil,11,2730
Nicholas Kushmerick,11,2816
Andrew G. Alleyne,11,2854
Gustavo Alonso,11,3200
Katsumi Inoue,11,3214
Martin Guay,11,3360
Edsger W. Dijkstra,11,3537
Ernesto Damiani,11,3732
Antonio Chella,11,4103
Prashant Mhaskar,11,4129
Anthony Finkelsteiin,11,4188
Masami Hagiya,11,4205
Leendert W. N. van der Torre,11,4598
Sara Manzoni,11,4791
Raimondo Schettini,11,5061
Murti V. Salapaka,11,5095
Catholijn M. Jonker,11,5190
Axel van Lamsweerde,11,5782
Richard M. Murray,11,5876
Philip M. Johnson,11,6124
Judith Bishop,11,6321
George S. Avrunin,11,6560
Vijay Laxmi,11,6710
Gerhard Rigoll,11,6810
Wendy Hall,11,7499
Dominique Archambault,11,8066
Xin Yao,11,8110
Marco Gori,11,9940
Yan Zhang,11,12400
Victor M. Preciado,11,25447
Marina Skurichina,11,25541
David Hutchison,11,25647
Yannis Smaragdakis,11,25656
John Perry Barlow,11,25685
Seong Whan Lee,11,25786
Manoj Singh Gaur,11,26140
Mads Nielsen,11,26152
Wayne Luk,11,26490
Bernhard Westfechtel,11,26551
David Pointcheval,11,26553
B. John Oommen,11,26632
Wolfgang Nejdl,11,26685
Shi-Kuo Chang,11,26700
Munindar P. Singh,11,26936
George Bosilca,11,26974
Giorgio Giacinto,11,27006
Rebecca T. Mercuri,11,27081
Tommi Mikkonen,11,27084
Fedor V. Fomin,11,27178
Burkhard Monien,11,27263
Ching Y. Suen,11,27399
Prasanta K. Jana,11,27423
Giuseppe Vizzari,11,27465
Eitan Altman,11,27506
Maria Teresa Pazienza,11,27520
Matthias Jarke,11,27562
Ana Paiva,11,27592
Jeffrey C. Carver,11,27773
Svetla Nikova,11,27979
Etienne E. Kerre,11,28275
Gabriel Ciobanu,11,28659
Luís Moniz Pereira,11,28934
Riccardo Focardi,11,29187
Wiebe van der Hoek,11,29393
Alex Pappachen James,11,30594
Yuri B. Shtessel,11,31198
Steven Michael Bellovin,11,31348
Jonathan Grudin,11,31407
Stan Jarzabek,11,31753
David L. Dill,11,32742
Michael Fisher,11,33487
Jing Wang,11,33519
Stephanie Forrest,11,33688
Fan Zhang,11,34169
Christian Blum,11,35058
Michael Jackson,11,36917
Xin Zhang,11,50764
Wojciech Ziarko,11,50831
Ming-Chung Chen,11,50844
Xin Yang,11,50961
Shriram Krishnamurthi,11,50967
José M. Troya,11,51004
Serge Vaudenay,11,51056
Angelo Susi,11,51228
Friedrich L. Bauer,11,51497
Robert Meersman,11,51603
Cristina Baroglio,11,51659
Zhen Kan,11,51660
Murat Arcak,11,51702
Rudolf Freund,11,51721
Jonathan Aldrich,11,51897
Ichiro Satoh,11,52209
Hui Wang,11,52303
Yunwen Ye,11,52350
Rose F. Gamble,11,52415
Fred B. Schneider,11,52556
Tony Lindeberg,11,52648
Sarangapani Jagannathan,11,52680
Gabriele Taentzer,11,52708
Awais Rashid,11,52875
David F. Redmiles,11,52900
Somesh Jha,11,53000
Benedetto Matarazzo,11,53278
Gerhard J. Woeginger,11,53332
Ufuk Topcu,11,53619
Gerhard Sagerer,11,53622
Mattia Monga,11,53782
Gang Wang,11,53933
Carles Sierra,11,54024
David A. Bell,11,54136
D. Ross Jeffery,11,54258
Gang Li,11,54490
Mehdi Jazayeri,11,54548
Dhabaleswar K. Panda,11,54691
Marc Cavazza,11,54965
Jacky Estublier,11,55352
David W. Casbeer,11,55550
Dirk Muthig,11,55740
Ruchika Malhotra,11,56277
Beshah Ayalew,11,56315
Fengqi You,11,56505
C. Murray Woodside,11,56746
Daniel Keysers,11,56835
Jianjiang Lu,11,56947
Edward A. Fox,11,57041
Carlos Martín-Vide,11,57456
Hong Chen,11,57459
Sushil Jajodia,11,57487
Sourav S. Bhowmick,11,57659
Corina S. Pasareanu,11,57750
Matteo Baldoni,11,57849
Jan Swevers,11,57913
James Richard Forbes,11,58002
Daniel Merkle,11,58370
Sanjit A. Seshia,11,58756
Witold Pedrycz,11,59275
Luc De Raedt,11,59346
Andrzej Szałas,11,62211
Stefan Langerman,11,62658
David Wagner,11,63950
Yuliang Zheng,11,65256
Henry Lieberman,10,85
Dong Hoon Lee,10,243
Enrique Vidal,10,247
Yiyu Yao,10,322
Gul Agha,10,522
Bernhard Rumpe,10,720
Alex Groce,10,770
Lars Grunske,10,810
Georg Gottlob,10,1107
Yuan Yan Tang,10,1110
Patrick Heymans,10,1166
B. V. K. Vijaya Kumar,10,1181
Ramesh Jain,10,1227
Daniel Jackson,10,1275
Yvonne Dittrich,10,1343
Juan Pavón,10,1410
Yuanfang Cai,10,1695
Liliana Ardissono,10,1823
Jun Han,10,1846
Naftaly H. Minsky,10,1897
Walter Binder,10,1922
Sumit Gulwani,10,2020
Vincent Wade,10,2093
Shiwei Tang,10,2173
Bart Dhoedt,10,2442
William Marshall McKeeman,10,2486
Cedric Langbort,10,2508
Bruce H. Krogh,10,2694
Francesca Toni,10,3190
Henny B. Sipma,10,3417
Taekyoung Kwon,10,3564
Jonathan P. How,10,4107
Wei Chen,10,4317
Angelos D. Keromytis,10,4487
Tohru Kikuno,10,4700
Willy Zwaenepoel,10,5155
Pamela Zave,10,5458
Li Zhang,10,5542
Peng Liu,10,5900
Wolfgang Reif,10,6018
Behcet Acikmese,10,6091
Emilio Corchado,10,6303
Pasquale Lops,10,6570
Gerard J. Holzmann,10,7223
Anton A. Stoorvogel,10,7937
David Lo,10,8068
Nelson Baloian,10,8338
Tor Arne Johansen,10,8406
Gregor Kiczales,10,8582
David Windridge,10,8859
Markus Schneider,10,9150
Rajeev Thakur,10,9248
Thomas Fritz,10,10226
Egon Börger,10,12473
Kenneth M. Anderson,10,25351
Dimitrios M. Thilikos,10,25507
Yu Sun,10,25542
Hai Lin,10,25657
Susan Stepney,10,25765
Richard C. Wilson,10,25977
Pravin Varaiya,10,26036
Douglas R. Stinson,10,26240
Khashayar Khorasani,10,26257
Shuvendu K. Lahiri,10,26328
Helen Sharp,10,26350
Philippe A. Palanque,10,26433
Klaus Schmid,10,26516
Dirk Beyer,10,26606
Matthew C. Turner,10,26642
João Gabriel Silva,10,26675
Bernhard Plattner,10,26696
Valerie Barr,10,26718
Albert Zündorf,10,26766
Greg Linden,10,26776
Sanghoon Lee,10,26809
Hosam K. Fathy,10,26859
Niels Kjølstad Poulsen,10,27079
Ahmed Karmouch,10,27346
Axel Legay,10,27379
Bev Littlewood,10,27455
Elvinia Riccobene,10,27703
Christian Jutten,10,27756
Shinji Kusumoto,10,27952
Takumi Ichimura,10,27964
Anh Tuan Nguyen,10,28282
Kalyanmoy Deb,10,28328
Anna Perini,10,28357
Christine Julien,10,28391
Michael Malisoff,10,28612
Bruno Crispo,10,28702
Hung Viet Nguyen,10,28928
Kenneth L. Kraemer,10,28983
Ganesh Gopalakrishnan,10,29209
Manuel Palomar,10,29395
Dengguo Feng,10,29813
Pearl Brereton,10,29837
David Budgen,10,29924
Ipek Ozkaya,10,30119
Ning Zhong,10,30286
Lei Zhang,10,30523
David C. Wilson,10,30551
Susan Landau,10,30828
Barbara Kitchenham,10,30906
David M. J. Tax,10,31071
Gordon S. Blair,10,31261
Jacques Stern,10,31567
Keng Siau,10,31732
Siwei Luo,10,32564
Martin C. Rinard,10,33477
Sadaaki Miyamoto,10,33704
Jorge Cortes,10,33819
Boudewijn R. Haverkort,10,34008
Deepak Kapur,10,34591
Vu1012417,10,35271
Helge Ritter,10,36814
Ralph Bergmann,10,37569
Hans-Hellmut Nagel,10,37572
Matt Blaze,10,50515
Kenneth P. Birman,10,50659
Alan Bundy,10,50694
Karolos M. Grigoriadis,10,50800
Judy Robertson,10,50907
Mf Marcel Heertjes,10,51164
Joost-Pieter Katoen,10,51208
Jean Bacon,10,51247
Stefano Ceri,10,51673
Zahari Zlatev,10,51931
Oscar Nierstrasz,10,51951
Eli Biham,10,51952
Piotr Sankowski,10,52016
Xilin Chen,10,52031
Georgy L. Gimel'farb,10,52307
Dazhou Kang,10,52340
Byoung-Tak Zhang,10,52933
Naoki Wakamiya,10,53008
Randal E. Bryant,10,53051
Richard Bellman,10,53109
Antonella Ferrara,10,53153
Michal Young,10,53176
Colin Neil Jones,10,53307
Ioannis Stavrakakis,10,53393
Gregor von Bochmann,10,53408
Amir Pnueli,10,53754
Giovanni Vigna,10,53970
Carlos A. Velasco,10,54220
Mohamed G. Gouda,10,54265
Lawrence G. Votta,10,54273
Kieron Messer,10,55049
Reiner Hähnle,10,55360
Paris Avgeriou,10,55370
Arturo Azcorra,10,55588
Yun Yang,10,55880
Pasquale Foggia,10,55903
Oliver Sawodny,10,56048
Amedeo Cesta,10,56158
Dieter Kranzlmüller,10,56176
Debasish Ghose,10,56208
Paul Fleming,10,56228
Calin Belta,10,56699
Julio Abascal,10,56741
John-Jules Ch. Meyer,10,56825
Brian Warboys,10,57826
Javier Ortega-Garcia,10,57996
Jue Wang,10,58125
Roberto Naldi,10,58669
Zakaria Maamar,10,59168
Edmundo Monteiro,10,59441
John Derrick,10,59587
Nael H. El-Farra,10,59733
Victor Pankratius,10,60429
Masahiro Inuiguchi,10,60909
Antonija Mitrovic,10,61308
Li Li,10,62251
Joseph F. Traub,10,63513
Javier Lopez,10,63961
Jongin Lim,10,64145
Petr Somol,9,63
Yehoshua Y. Zeevi,9,114
Frank S. de Boer,9,341
Rudolf Berghammer,9,518
Jing Liu,9,521
Pietro Torasso,9,560
Anita Sarma,9,601
Aarti Gupta,9,704
Manish Kumar,9,745
Mike P. Papazoglou,9,902
Pedro Antunes,9,925
Eleni Stroulia,9,991
Rolf Findeisen,9,1458
Sriparna Saha,9,1486
Vaclav Rajlich,9,1549
Raouf Boutaba,9,1565
Alessandro Ricci,9,1598
Carlos Cotta,9,1614
Andrzej Cichocki,9,1661
Prashant G. Mehta,9,1671
Esteban Zimányi,9,1805
Francisco Herrera,9,1849
Hyunseung Choo,9,1900
Peter Sanders,9,1932
Yong Wang,9,1993
Shing-Chi Cheung,9,2070
Yong Liu,9,2207
Dominik Slezak,9,2269
Erkki Oja,9,2326
Ron Brightwell,9,2446
Roel Wieringa,9,2463
Krzysztof Stencel,9,2604
Michael Luck,9,2777
Marcello Pelillo,9,3004
Carolyn B. Seaman,9,3133
Torsten Braun,9,3202
Thomas D. LaToza,9,3222
Donald F. Towsley,9,3398
John H. Reif,9,3573
Sergio F. Ochoa,9,3600
Anthony I. Wasserman,9,3621
Kokichi Futatsugi,9,3888
Günther Ruhe,9,3985
Gary J. Balas,9,3988
Jan Camenisch,9,4017
Karl J. Lieberherr,9,4245
Carlos A. Coello Coello,9,4306
David A. Carrington,9,4524
Yebin Wang,9,4650
Qing-Chang Zhong,9,5071
Michael Zibulevsky,9,5248
Margaret M. Burnett,9,5373
Ryohei Nakatsu,9,5483
Kim Marriott,9,5811
Peter M. A. Sloot,9,5903
Yanhui Li,9,5976
Daniel S. Hirschberg,9,5995
Gheorghe Paun,9,6211
Rajdeep Niyogi,9,6354
